ofteco	kategorio	tipo	Usonangla radikvorto (Longe / sinonimo / alternativo) (tipo)	Longe / sinonimo / alternativo	EO preferata termino	fonto EO	fonto 2 EO	fonto 3 EO	fonto 4 EO	EO alternativo 1	fonto EO alternativo 1	fonto EO alternativo 2	EO alternativo 2	fonto EO alternativo 2	NL type	NL aanbevolen term	NL %	bron NL	alt 1 bron NL	alt 2 bron NL	NL alternatief	betrouwbare bron NL alt	FR type	FR terme conseillé	Accepté	source 1 FR conseillé	source 2 FR conseillé	source 3 FR conseillé	FR alternative	source FR alternative	PL tipo	Pola konsilinda termino	fonto PL konsilinda	PL alternativa termino	fonto PL alternativo
			counterfeit software (subst.) 		falsa programo											vervalste software								logiciel contrefait								nicht lizenzierte Software			
			counterfeiting (subst.) 		falsado																														
			countersignature (subst.) 		dua konfirma subskribo											controlehandtekening								contre-signature								Gegensignatur			
			counting (subst.) 		nombrado	Bertin																													
			country code (subst.) 		landokodo										de	landcode	100%																		
			couple (verbo) 		kupli	Bertin																													
			courtesy copy (subst.) 		karbonkopio 																			copie carbone								cc			
			CPU (central processing unit) (subst.) 		ĉefprocesoro / cxefprocesoro	ReVo				ĉefprocezilo					de	centrale verwerkingseenheid		Van Dale			processor														
			CPU-intensive (adj.) 		procesor-intensa																														
			CPU-scheduler (subst.) 		ĉefprocesora prioritata vicigilo / cxefprocesora prioritata vicigilo																														
			crack (subst.) 		kodrompilo					malprotektilo	Maŭro				het	kraakprogramma																			
			cracker (subst.) 		kodrompisto	KompLeks	ReVo			retpirato	Maŭro				de	computerkraker		ICT VNU																	
			cradle (docking station) (subst.) 		doko	KompLeks									de	houder		ICT VNU																	
			craplet (crapware) (subst.) 		nebonvena antaŭinstalitaĵo / nebonvena antauxinstalitajxo																														
			crapplet (subst.) 		neutila retprogramo					neutila apleto																									
			crash (subst.) 		kraŝo / krasxo	PIV2002				kolapso		komputila paneo			de	computerpanne	60%				computercrash		une	panne d'ordinateur											
			crash (computer) (verbo) 		kraŝi / krasxi	PIV2002				kolapsi		panei	KompVort			vastlopen	100%	Stichting			crashen		verbe	se planter								abstürzen			
			crash (network) (verbo) 		panei											platgaan	60%	Stichting																	
			crash handler (subst.) 		traktilo de kraŝoj / traktilo de krasxoj					kolapsa traktilo																									
			crash recovery (subst.) 		postkraŝa riparado / postkrasxa riparado					postkolapsa riparado						crashherstel								récupération sur incident								Wiederherstellung nach Systemabsturz			
			create (verbo) 		krei											aanmaken																			
			creation date (subst.) 		kreodato																														
			creative commons (subst.) 		krea komunaĵo / krea komunajxo	Vikipedio																													
			credentials (subst.) 		ensalutiloj					akreditaĵoj	Benson				de	aanmeldgegevens								informations d'identification								Anmeldeinformationen			
			credibility check (subst.) 		verŝajnkontrolo / versxajnkontrolo	Bertin																													
			credit (subst.) 		agnosko																														
			crippleware (subst.) 		programaro kun limigita funkciigo																														
			critical alert (subst.) 		grava averto											kritieke waarschuwing								alerte critique								kritische Warnung			
			critical file (subst.) 		grava dosiero											essentieel bestand								fichier critique								wichtige Datei			
			critical path (subst.) 		grava vojo											kritisch pad								chemin critique								kritischer Weg			
			critical resource  (subst.) 		grava risurco																														
			critical section (subst.) 		grava sekcio											kritieke sectie								section critique								kritischer Bereich			
			critical update (subst.) 		grava ĝisdatigo / grava gxisdatigo											essentiële update								mise à jour critique								wichtiges Update			
			CRM (mallon.) 		klientorilata administrado																														
			crop (verbo) 		stuci	OOo	Benson			pritondi	Wordpress					bijsnijden								rogner								zuschneiden			
			crop (subst.) 		stuco										de	bijsnijdbegrenzing	80%	VW																	
			crop mark (subst.) 		stuca gvidlinio											bijsnijdmarkering								repère de rognage								Zuschnittmarke			
			cross hatch (subst.) 		kruca haĉo / kruca hacxo	Benson				kruca ombrostreko						hekje								hachure croisée								Nummernzeichen			
			cross platform (cross-platform) (adj.) 		plursistema											platformonafhankelijk	100%																		
			cross-cable (subst.) 		rektkonekta kablo										de	gekruiste kabel	60%	Verklar																	
			cross-checking (cross-check) (subst.) 		kruckontrolo	Bertin																													
			cross-compiler (adj.) 		gastkompililo					gasttradukilo	KompLeks	Aleksey Timin																							
			cross-link (subst.) 		interna ligilo																														
			cross-section (curried function) (adj.) 		sekco	KompLeks	Aleksey Timin																												
			crossmedia (subst.) 		plurkomunikila																														
			crossover cable (cross-over cable) (subst.) 		krucita konekta kablo										de	crossoverkabel	100%	Verklar						câble null modem								Kreuzkabel			
			crosspost (verbo) 		disafiŝi / disafisxi																														
			cross-reference (subst.) 		krucreferenco					interna referenco	Tekstoj.nl				de	kruisverwijzing		Wikipedia																	
			cross-reference table (subst.) 		krucreferenca tabelo	Bertin																													
			crosstab query (subst.) 		rezulto de informpeto en kalkultabela formo											kruistabelquery								requête analyse croisée											
			cruise (adj.) 		retumi	KompLeks	Aleksey Timin																												
			crunch (adj.) 		densigi	KompLeks	Aleksey Timin																												
			cryptography (subst.) 		kriptografio											cryptografie								chiffrement								Kryptografie			
			Ctrl key (control key, Ctrl-key) (mallon.) 		stirklavo	OOo				stira registrumo	KompLeks																								
			cube (subst.) 		kubo	OOo																													
			cubic spline (subst.) 		kuba splajno	OOo																													
			cumulative (adj.) 		akumula	Bertin																													
			currency symbol (subst.) 		valuta simbolo										het	valutasymbool	100%	Microsoft						symbole monétaire								Währungssymbol			
			current (adj.) 		aktuala	OOo										actueel								actif								aktuell			
			current cell (subst.) 		aktiva ĉelo / aktiva cxelo											actieve cel								cellule active								aktive Zelle			
			current directory (subst.) 		aktuala dosierujo	OOo				kuranta dosierujo	KompLeks				de	huidige map								répertoire actif								aktuelles Verzeichnis			
			current period (subst.) 		aktuala periodo											huidige periode																aktueller Zeitraum			
			current record (subst.) 		aktuala rikordo											huidige record								enregistrement actif								aktueller Datensatz			
			current region (subst.) 		aktuala regiono											huidig gebied								zone active								aktueller Bereich			
			current time (subst.) 		aktuala tempo											huidige tijd																aktuelle Zeit			
			current version (subst.) 		aktuala versio	OOo										huidige versie																			
			cursor (subst.) 		kursoro	KompLeks	KDE	Bertin		tajpmontrilo					de	muisaanwijzer								curseur								Cursor			
			cursor control key (adj.) 		sagoklavo	KompLeks	Aleksey Timin																												
			cursor key (subst.) 		movklavo	Maŭro				moviĝoklavo	Firefox					pijltoets								touche de direction								Pfeiltaste			
			curve (subst.) 		kurbo	Bertin										kromming								courbe								Kurve			
			custom (adj.) 		propra	OOo	KDE			laŭmenda	KDE					op maat					aangepast														
			custom built (adj.) 		tajlorita	Bertin										op maat gemaakt																			
			custom color palette (subst.) 		propra kolorpaletro											aangepast kleurenpalet								palette de couleurs personnalisée								benutzerdefinierte Farbpalette			
			custom content (subst.) 		propra enhavo											aangepaste inhoud																			
			custom dictionary (subst.) 		propra vortaro	OOo	Abiword								de	aangepaste woordenlijst	100%	Microsoft						dictionnaire personnel								Benutzerwörterbuch			
			custom field (subst.) 		propra kampo											aangepast veld								champ personnalisé								benutzerdefiniertes Feld			
			custom fonts (subst.) 		propraj tiparoj	OOo																													
			custom group (subst.) 		propra grupo											aangepaste groep								groupe personnalisé								benutzerdefinierte Gruppe			
			custom group field (subst.) 		kampo kun propraj grupoj											veld met aangepaste groepen								champ de groupe personnalisé								benutzerdefiniertes Gruppenfeld			
			custom installation (subst.) 		propra instalado											aangepaste installatie								installation personnalisée								benutzerdefinierte Installation			
			custom order (subst.) 		propra sinsekvo											aangepaste volgorde								ordre personnalisé								benutzerdefinierte Reihenfolge			
			custom palette (subst.) 		propra paletro											aangepast palet								palette personnalisée								benutzerdefinierte Palette			
			custom software (subst.) 		laŭmenda program(ar)o / lauxmenda program(ar)o	KompLeks										programmatuur op maat																			
			custom toolbar (subst.) 		propra ilobreto											aangepaste werkbalk								barre d'outils personnalisée								benutzerdefinierte Symbolleiste			
			custom variable (subst.) 		propra variablo											aangepaste variabele								variable personnalisée								benutzerdefinierte Variable			
			customer (subst.) 		kliento											klant								client								Kunde			
			customer care (subst.) 		klientzorgado										de	klantendienst		Stichting			klantenzorg	Stichting													
			customer relationship management (subst.) 		klientoserva mastrumado										het	relatiebeheer	100%																		
			customizable (customisable) (adj.) 		tajlorebla					akomodebla						aanpasbaar																			
			customization (subst.) 		tajlorado											aanpassing								personnalisation								Anpassung			
			customize (customise) (verbo) 		tajlori	Bertin				akomodi	KompLeks	TekVort	adapti	OOo		aanpassen	100%	Microsoft	Stichting					personnaliser								anpassen			
			cut (verbo) 		eltondi					tondi						knippen		Microsoft						couper								ausschneiden			
			cut and paste (verbo) 		eltondi kaj alglui	OOo				transpoŝigi	KompLeks					knippen en plakken	100%	Microsoft																	
			cut off (verbo) 		fortranĉi / fortrancxi	Maŭro				trunki	Bertin																								
			cut out (verbo) 		fortondi	Maŭro																													
			cut-over period (subst.) 		transira periodo	Bertin																													
			cybercafe (cyber café) (subst.) 		retumejo	KompLeks																													
			cybernaut (adj.) 		retumanto	KompLeks	Aleksey Timin																												
			cybernetics (subst.) 		kibernetiko	Bertin																													
			cyberspace (subst.) 		retlando	KompLeks				ciberspaco	FEL										cyberspace		une	cyberespace											
			cybersquatting (subst.) 		piratado de retregiona nomo																														
			cycle (subst.) 		ciklo	Bertin									de	cyclus								cycle								Zyklus			
			cycle button (subst.) 		ciklobutono																														
			cycle master (subst.) 		cikla mastro	KDE																													
			cycle shift (cyclic shift) (subst.) 		cikla ŝovo / cikla sxovo	Bertin																													
			cyclic redundancy check (subst.) 		cikloredunda erarkontrolo	Maŭro										cyclische redundantiecontrole								contrôle de redondance cyclique											
			cylinder (subst.) 		diskocilindro	Maŭro				cilindro	OOo	Bertin																							
			cyrillic letters (adj.) 		literoj cirilaj	KompLeks	Aleksey Timin																												
			cyrillic writing (adj.) 		kirilico	KompLeks	Aleksey Timin																												
			daemon (demon) (subst.) 		demono	KompLeks	KDE																												
			dagger (subst.) 		obeluso	PIV2002										obelisk								croix								Kreuz			
			dagger operator (subst.) 		malkajo	KompLeks	Aleksey Timin																												
			daily backup (subst.) 		ĉiutaga savkopio / cxiutaga savkopio					ĉiutaga sekurkopio						dagelijkse back-up								sauvegarde quotidienne								tägliche Sicherung			
			daily digest (subst.) 		taga mesaĝaro / taga mesagxaro					taga kompilaĵo																									
			dangling reference (subst.) 		misreferenco	KompLeks	Aleksey Timin																												
			dash (subst.) 		streketo	OOo				haltostreko	Maŭro				het	liggend streepje	100%	Verklar																	
			data (subst.) 		datumoj	KompLeks	ReVo	TekVort		datenoj	PIV2002				de	gegevens	100%	Stichting			computerdata	het groene boekje	les	données								Daten			
			data acquisition (subst.) 		datumakiro	KompBaz	Bertin								de	gegevensinwinning																			
			data bar (subst.) 		datumbreto											gegevensbalk								barre de données								Datenbalken			
			data bus (subst.) 		datumbuso	Bertin									de	gegevensbus																			
			data capture device (subst.) 		datumakirilo																														
			data carrier (subst.) 		datumportilo	Bertin									de	gegevensdrager																			
			data center (datacenter) (subst.) 		datumejo										het	gegevenscentrum					datahotel														
			data channel (subst.) 		datumkanalo											gegevenskanaal								canal de données								Datenkanal			
			data compression (subst.) 		datumkompaktigo	Bertin				datumdensigo	Edmundo				de	gegevenscompressie					datacompressie		la	compression de données											
			data consistency  (subst.) 		datumkohero	KompLeks	TekVort								de	gegevenssamenhang																			
			data converter (subst.) 		datumkonvertilo	Bertin									de	gegevensomzetter																			
			data deduplication (subst.) 		senduobligo de datumoj										de	gegevensontdubbeling																			
			data definition language (data description language) (subst.) 		datumpriskriba lingvo	KompLeks	Aleksey Timin																												
			data enrichment (subst.) 		datumpliriĉigo / datumpliricxigo										de	gegevensverrijking																			
			data entry (subst.) 		datumenigo										de	gegevensinvoer		ICT VNU						entrée de données								Dateneingabe			
			data field (subst.) 		datumkampo										het	gegevensveld								champ de données								Datenfeld			
			data flow (subst.) 		datumfluo										de	gegevensstroom	100%	Verklar						flux de données								Datenfluss			
			data fork (Mac) (subst.) 		datumforko										de	gegevensvork																			
			data form (subst.) 		datumformularo											gegevensformulier								formulaire de données								Datenformular			
			data format (subst.) 		datumaranĝo / datumarangxo											gegevensindeling								format de données								Datenformat			
			data graphic (subst.) 		grafiko de datumoj											gegevensafbeelding								graphique de données								Datengrafik			
			data group (subst.) 		grupo de datumoj											gegevensgroep								groupe de données								Datengruppe			
			data integrity (subst.) 		datumintegreco											gegevensintegriteit								intégrité des données								Datenintegrität			
			data item (subst.) 		datumero											gegevensitem								élément de données								Datenelement			
			data label (subst.) 		datumetikedo											gegevenslabel								étiquette de données								Datenbeschriftung			
			data level (subst.) 		datumnivelo	Bertin																													
			data logger (subst.) 		datumprotokolilo										de	gegevenslogger					datalogger														
			data logging (subst.) 		protokolado de datumoj																														
			data loss (subst.) 		perdo de datumoj											gegevensverlies																			
			data maintenance (subst.) 		datuma prizorgado										heta	gegevensonderhoud																			
			data management (subst.) 		datumomastrumado										heta	gegevensbeheer																			
			data manipulation language (subst.) 		datummanipula lingvo	KompLeks	Aleksey Timin																												
			data medium (subst.) 		datumportilo	ReVo	KDE																												
			data migration (subst.) 		datummigrado	Maŭro				struktura transmeto de datumoj					de	datamigratie					gegevensconversie	ICT VNU													
			data mining (datamining) (subst.) 		datumelfoso					datumanalizado					de	gegevensdelving	60%	Stichting																	
			data outline (subst.) 		datuma skemo											gegevensoverzicht								structure des données								Datengliederung			
			data overrun error (subst.) 		bufra troo																														
			data packet (subst.) 		datumpaketo	Edmundo										gegevenspakket								paquet de données								Datenpaket			
			data pane (datapane) (subst.) 		datuma fenestro										het	gegevensscherm																			
			data path (subst.) 		datumbuso	KompLeks	Aleksey Timin																												
			data point (subst.) 		datumpunkto											gegevenspunt								point de données								Datenpunkt			
			data policy (subst.) 		strategio pri datumoj											gegevensbeleid								stratégie de données								Datenrichtlinie			
			data processing (subst.) 		datumtraktado	ReVo	Bertin			datumprilaboro	ReVo				de	gegevensverwerking	100%							traitement de données								Datenverarbeitung			
			data processor (subst.) 		datumtraktilo	Bertin																													
			data protection  (subst.) 		datumprotekto	KompLeks	TekVort			datumsekurigo	Teknika vortaro				de	gegevensbescherming																			
			data provider (subst.) 		datumliveranto											gegevensleverancier								fournisseur de données								Datenprovider			
			data range (subst.) 		datuma intervalo	OOo				datumzono					het	gegevensbereik	100%	Microsoft																	
			data rate (subst.) 		datumrapido											gegevenssnelheid																Datenrate			
			data record (subst.) 		datumrikordo											gegevensrecord								enregistrement de données								Datensatz			
			data recording  (subst.) 		datumregistrado	KompLeks	TekVort									gegevensopname	100%																		
			data recovery (subst.) 		datumrestaŭro / datumrestauxro										het	gegevensherstel	100%																		
			data reduction  (subst.) 		datumredukto	KompLeks	TekVort	KompBaz																											
			data region (subst.) 		datumareo											gegevensgebied								région de données								Datenbereich			
			data retention (data preservation) (subst.) 		daŭro de datumkonservado / dauxro de datumkonservado																														
			data set  (subst.) 		datumaro	KompLeks	TekVort	Bertin	Pekoteko						de	gegevensverzameling	100%	ICT VNU																	
			data source (subst.) 		datumfonto	OOo	Bertin									gegevensbron								source de données								Datenquelle			
			data source driver (subst.) 		pelilo por datumfonto											stuurprogramma voor gegevensbron								pilote de source de données								Datenquellentreiber			
			data sources view (subst.) 		vido de datumfontoj	OOo																													
			data storage (subst.) 		konservado de datumoj					enmemorigo de datumoj					de	gegevensopslag	100%																		
			data storage device (subst.) 		datummemorilo										het	gegevensopslagapparaat	100%																		
			data stream (subst.) 		datumfluo											gegevensstroom								flux de données								Datenstrom			
			data structure  (subst.) 		datumstrukturo	KompLeks	ReVo	TekVort								gegevensstructuur	100%																		
			data table (subst.) 		datumtabelo											gegevenstabel								table de données								Datentabelle			
			data theft (subst.) 		datumŝtelo / datumsxtelo											gegevensdiefstal																			
			data traffic  (subst.) 		datumtrafiko	KompLeks	TekVort								het	gegevensverkeer																			
			data transmission  (subst.) 		datumtransmeto	KompLeks	TekVort			datumtranssendo	Bertin				de	gegevensoverdracht	100%							transfert de données								Datenübertragung			
			data transport (subst.) 		transporto de datumoj											informatietransport																			
			data type (image, text,...) (subst.) 		datumspeco										het	gegevenstype	100%							type de données								Datentyp			
			data type (JPG, DOC,...) (subst.) 		datumtipo																														
			data validation  (subst.) 		datumkontrolo	KompLeks	TekVort								de	gegevensvalidatie	100%							validation des données								Datenüberprüfung			
			data viewer (subst.) 		datumvidigilo																			vue de source de données								Daten-Viewer			
			data volume (subst.) 		datumportilo	ReVo	KDE																												
			data warehouse (datawarehouse) (subst.) 		datumstokejo	Lode VDV									het	gegevenspakhuis	60%	Stichting						entrepôt de données								Data Warehouse			
			databank (data bank) (subst.) 		datumbanko	KompLeks	ReVo	Bertin		datumaro					de	gegevensbank		Stichting			databank														
			database (data base) (subst.) 		datumbazo	KompLeks	KDE	Bertin							de	gegevensbank	60%	Taalunie			database	Wikipedia		base de données								Datenbank			
			database cluster (subst.) 		datumsektoraro	Lode VDV																													
			database driven (adj.) 		datumbazostirata	Maŭro										databasegestuurd (website)	100%	Telenet																	
			database file (subst.) 		datumbaza dosiero																											Datenbankdatei			
			database grooming (subst.) 		optimumigo de datumbazo																			nettoyage de base de données								Datenbankoptimierung			
			database language (subst.) 		datumbaza lingvo	KompLeks	Aleksey Timin																												
			database maintenance tool (subst.) 		datumbaza mastrumilo											hulpmiddel voor onderhoud van een gegevensbank								outil de maintenance de base de données								Datenbankwartungstool			
			database management system (Access, Base) (subst.) 		datumbaz-manipulilo	ReVo				datumbaz-mastrumilo																									
			database mirroring (subst.) 		spegulado de la datumbazo																			mise en miroir de bases de données								Datenbankspiegelung			
			database object (subst.) 		datumbaza objekto																			objet de base de données								Datenbankobjekt			
			database replication (subst.) 		dinamika kopiado de datumbazo																														
			database server (subst.) 		servilo de datumbazo					servoprogramo por datumbazo						gegevensbankserver								serveur de base de données								Datenbankserver			
			database view (subst.) 		datumbaza vido																			vue de base de données								Datenbanksicht			
			database warehouse (subst.) 		datumbaza tenejo																														
			data-bound control (subst.) 		fenestraĵo ligita al datumoj / fenestrajxo ligita al datumoj																														
			data-centered design (subst.) 		fasonado por rekta datumomanipulado																			architecture centrée sur les données											
			data-definition query (subst.) 		datum-ŝanĝa informpeto / datum-sxangxa informpeto					datum-difina peto						definitiequery								requête Définition des données								Datendefinitionsabfrage			
			data-driven (adj.) 		dinamika																														
			data-driven subscription (subst.) 		dinamika abonraporto																			abonnement piloté par les données								datengesteuertes Abonnement			
			datagram  (subst.) 		datagramo	KompLeks	TekVort																	datagramme								Datagramm			
			data-flow chart (subst.) 		datumflua diagramo	KompLeks	Aleksey Timin																												
			data-flow machine (subst.) 		datumflua arkitekturo	KompLeks	Aleksey Timin																												
			data-link layer (subst.) 		protokola transmetnivelo					protokola nivelo														couche de liaison de données								Sicherungsschicht			
			data-overrun error (subst.) 		eraro de bufra troo											gegevensoverschrijdingsfout								erreur de dépassement de données								Datenüberlauffehler			
			datasheet (document) (subst.) 		dokumento de specifoj																			feuille de données								Datenblatt			
			datasheet (Microsoft Access) (subst.) 		tabelofolio (Microsoft Access)																														
			datasheet view (subst.) 		tabela vido (Microsoft Access)																			mode Feuille de données								Datenblattansicht			
			date (subst.) 		dato											datum								date								date			
			date expression (subst.) 		esprimo de dato											datumexpressie								expression de date								Datumsausdruck			
			date literal (subst.) 		datoliteralo											letterlijke datum								littéral de date								Datumsliteral			
			date stamp (subst.) 		datostampo										de	datumstempel	100%																		
			datum (subst.) 		datumo	KompLeks	Aleksey Timin			donitaĵo																									
			DBMS (database management system) (mallon.) 		datumbaz-manipulilo	KompLeks	Aleksey Timin																												
			DDE (Dynamic Data Exchange) (mallon.) 		dinamika datuminterŝanĝo / dinamika datumintersxangxo	TekVort																													
			de facto standard (subst.) 		defakta normo	Edmundo										de facto norm	100%	Verklar																	
			dead key (subst.) 		senpaŝa klavo / senpasxa klavo	Kompleks									de		100%	Verklar						touche morte								unbelegte Taste			
			dead pixel (subst.) 		malbona bildero					malbona rastrumero																									
			deadline (subst.) 		limdato										de	(vooropgestelde) termijn	80%				uiterste datum	Van Dale										Stichtag			
			deadlock (deadly embrace) (subst.) 		interatendo	Kompleks				klinĉo	KompLeks		reciproka blokado	Bertin																					
			deactivate (verbo) 		malaktivigi	KDE																													
			dealer (subst.) 		agento										de	doorverkoper	60%																		
			deallocate  (verbo) 		malasigni	PIV2002	Edmundo			malokupi	Kompleks	TekVort																							
			deblock (verbo) 		senblokigi	Edmundo				malbloki	Bertin																								
			debug (verbo) 		sencimigi	Kompleks				ĝustigi	KompLeks		senerarigi	Bertin		fouten opsporen								déboguer								debuggen			
			debugger (subst.) 		erarserĉilo / erarsercxilo	PIV2002	Kompleks	Bertin	TekVort	ĝustigilo					de	foutopsporingsprogramma								débogueur								Debugger			
			debugging (subst.) 		sencimigo	Kompleks				ĝustigo	KompLeks		senerarigo	Bertin	het	foutopsporing	100%							débogage								Debuggen			
			debugging mode (debug mode) (subst.) 		sencimiga reĝimo / sencimiga regximo																			mode débogage								Debugmodus			
			decreasing order (subst.) 		malkreska ordo	Bertin																													
			decentralized (decentralised) (adj.) 		malcentra	Bertin																													
			decidability (mallon.) 		decideblo	KompLeks	Aleksey Timin																												
			decimal  (adj.) 		dekuma	Kompleks	ReVo	TekVort								decimaal																			
			decimal notation  (subst.) 		dekuma nombrosistemo	Kompleks	TekVort								de	decimale notatie	100%																		
			decimal number  (subst.) 		dekuma frakcio	Kompleks	TekVort																												
			decimalize (verbo) 		dekumigi	Bertin																													
			decipher (verbo) 		malĉifri / malcxifri					deĉifri	Bertin					ontcijferen	100%	Verklar																	
			decision table  (subst.) 		decidtabelo	Kompleks	Bertin	TekVort							de	beslissingstabel	100%																		
			declaration  (subst.) 		deklaro	Kompleks	ReVo	Bertin	TekVort																										
			declarative language  (subst.) 		deklarema lingvo	Kompleks	TekVort			deklara lingvo	Maŭro																								
			decode (verbo) 		malkodi	Kompleks	Bertin	Pekoteko		malĉifri						ontcijferen	100%	Van Dale			decoderen	Van Dale													
			decoder (subst.) 		malkodilo	Kompleks	Bertin	Pekoteko		malĉifrilo					de	decodeerder	100%	Van Dale			decodeermachine	Van Dale													
			decoding (subst.) 		malkodado	Pekoteko																													
			decollate (verbo) 		plurfolidisigi	Bertin																													
			decompilation  (subst.) 		retrotraduko	Kompleks	TekVort			retrokompilado	Lode VDV																								
			decompress (verbo) 		malkompaktigi	FEL				maldensigi	Edmundo					uitpakken	80%				decompimeren		verbe	décomprimer											
			decompression (subst.) 		malkompaktigo											decompressie								décompression								Dekomprimierung			
			decrease (verbo) 		malkreski											verkleinen	100%	Van Dale																	
			decreasing  (adj.) 		malkreska																														
			decrement  (verbo) 		dekrementi	Kompleks	Bertin	TekVort																											
			decrementation (subst.) 		dekrementado	Bertin																													
			decrypt (verbo) 		malĉifri / malcxifri	ReVo				deĉifri	ReVo					ontsleutelen	80%				decrypteren /decoderen		verbe	déchiffrer								entschlüsseln			
			decrypter (subst.) 		malĉifrilo / malcxifrilo	KompList																													
			decryption (subst.) 		malĉifrado / malcxifrado											decodering								déchiffrement								Entschlüsselung			
			dedicated  (adj.) 		dediĉita / dedicxita	Kompleks	TekVort																												
			dedicated connection (subst.) 		dediĉita konekto / dedicxita konekto	KompLeks				permanenta konekto	Teknika vortaro					constante toegang (tot internet)								connexion dédiée											
			dedicated line (subst.) 		dediĉita konekto / dedicxita konekto	KompLeks				permanenta konekto	Teknika vortaro					constante toegang (tot internet)	100%																		
			dedicated resource (subst.) 		dediĉita risurco / dedicxita risurco											toegewezen bron								ressource dédiée											
			dedicated server (adj.) 		dediĉita servilo / dedicxita servilo											toepassingsgerichte server	80%	Van Dale																	
			deduce  (verbo) 		dedukti	KompLeks	TekVort									(logisch) afleiden	100%	Van Dale																	
			deduction (subst.) 		dedukto	Bertin																													
			deduplicate (data) (verbo) 		senduobligi (datumojn)											ontdubbelen																			
			deduplication (data) (subst.) 		senduobligo (datumojn)											ontdubbeling																			
			deep copy (subst.) 		kompleta kopio											uitgebreide kopie								copie complète								tiefe Kopie			
			deep link (subst.) 		senpera ligilo	Maŭro									de	rechtstreekse koppeling	60%																		
			default (adj.) 		defaŭlta / defauxlta	KompLeks	OOo	Ipernity	Abiword	implicita	PIV2002		norma	Firefox		standaard-					standaardinstelling			par défaut								Standard			
			default (subst.) 		defaŭlto / defauxlto	KompLeks				implicita valoro			normo	Firefox	de	standaardwaarde	100%	CompWo																	
			default button (subst.) 		defaŭlta butono / defauxlta butono											standaardknop								bouton par défaut								Standardschaltfläche			
			default color (default colour) (subst.) 		defaŭlta koloro / defauxlta koloro											standaardkleur																			
			default data file (subst.) 		defaŭlta datumdosiero / defauxlta datumdosiero											standaardgegevensbestand								fichier de données par défaut								Standarddatendatei			
			default device (subst.) 		defaŭlta aparato / defauxlta aparato											standaardapparaat								Appareil par défaut								Standardgerät			
			default document (subst.) 		defaŭlta dokumento / defauxlta dokumento											standaarddocument								document par défaut								Standarddokument			
			default folder (subst.) 		defaŭlta dosierujo / defauxlta dosierujo											standaardmap								dossier par défaut								Standardordner			
			default gateway (subst.) 		defaŭlta kluzo / defauxlta kluzo											standaardgateway								passerelle par défaut								Standardgateway			
			default home page (subst.) 		defaŭlta ĉefpaĝo / defauxlta cxefpagxo											standaardintroductiepagina								page d'accueil par défaut								Standardhomepage			
			default host (subst.) 		defaŭlta gastigo / defauxlta gastigo											standaardhost								hôte par défaut								Standardhost			
			default hyperlink (subst.) 		defaŭlta ligilo / defauxlta ligilo											standaardhyperlink								lien hypertexte par défaut								Standardlink			
			default network (subst.) 		defaŭlta reto / defauxlta reto											standaardnetwerk								réseau par défaut								Standardnetzwerk			
			default printer (subst.) 		defaŭlta presilo / defauxlta presilo					defaŭlta printilo						standaardprinter								imprimante par défaut								Standarddrucker			
			default resource (subst.) 		defaŭlta risurco / defauxlta risurco										de	standaardhulpbron	100%	VW					une	ressource préchargée											
			default user (subst.) 		defaŭlta uzanto / defauxlta uzanto											standaardgebruiker								utilisateur par défaut								Standardbenutzer			
			default value (subst.) 		defaŭlta valoro / defauxlta valoro											standaardwaarde								valeur par défaut								Standardwert			
			defer (verbo) 		prokrasti											uitstellen								différer								rückstellen			
			deferred addressing (subst.) 		nerekta adresado	Bertin																													
			define (verbo) 		difini	ReVo										definiëren		Microsoft																	
			defining occurrence (subst.) 		difina apero	KompLeks	Aleksey Timin																												
			definition module (subst.) 		difina modulo	KompLeks	Aleksey Timin																												
			definition (subst.) 		difino	ReVo	Pekoteko	Drupalo							de	begripsbepaling		Van Dale			definitie	Van Dale		définition								Definition			
			defragmentation (subst.) 		malfragmentiĝo / malfragmentigxo											defragmentatie								défragmentation								Defragmentierung			
			defuzzify (de-fuzzify) (verbo) 		sensvagigi																														
			degree (subst.) 		grado	KompLeks									de	graad	100%																		
			degree symbol (subst.) 		gradosimbolo											gradenteken								symbole du degré								Gradzeichen			
			dehydrate (verbo) 		paŭzi / pauxzi																			mettre en attente								pausieren			
			deinstall  (verbo) 		malinstali	KompLeks	TekVort									verwijderen (van de computer)	100%																		
			deinterlace (verbo) 		malinterplekti																			désentrelacer								deinterlace			
			delay  (subst.) 		prokrasto	Bertin	TekVort	Snap Shot							de	vertraging	100%	Van Dale																	
			deleave (verbo) 		plurfolidisigi	Bertin																													
			deleaver (subst.) 		plurfolidisigilo	Bertin																													
			delegation (subst.) 		delegado	KompLeks	Aleksey Timin																												
			delete (verbo) 		forigi	OOo	KDE			forviŝi	Firefox	Drupalo	viŝi			wissen	100%				deleten			supprimer								löschen			
			delete button (subst.) 		foriga klavo	OOo										delete-toets								touche Suppr								Entf-Taste			
			delete key (subst.) 		foriga klavo											delete-toets								touche Suppr								Entf-Taste			
			delete query (subst.) 		foriga peto																			requête Suppression								Löschabfrage			
			deleted items folder (subst.) 		rubujo											map Verwijderde items								dossier Éléments supprimés								Ordner Gelöschte Elemente			
			deletion (subst.) 		forigo																														
			delimit (verbo) 		disigi					limigi	Bertin																								
